run_index,sample,linker_length,linker_conc,temperature,meansize,msd,1/eta,cbeta,beta,norm_1/eta,norm_cbeta,norm_beta,pc1,pc2,pc3
1,0,0,0,20,9.354124344,1.667441466,0.1267453507156523,0.12819971475950956,0.18815837756751097,1.2914449266256918,-0.919310382,1.8739427785921698,2.345463887729893,0.7215607222057965,-0.052653496
1,0,0,0,25,9.354124344,1.667441466,0.15214600776393739,0.087693718,0.2033395824385813,1.400066179,-1.368178693,2.1371415377528673,2.8139696502537177,0.6313998337248468,-0.287021344
1,0,0,0,30,9.354124344,1.667441466,0.3713796121721009,0.061887521657749314,0.2063547356128274,1.9307325623660099,-1.780158542,2.1894156873266795,3.3992974519367576,0.3525974148819313,-0.103371219
1,0,0,0,35,9.354124344,1.667441466,0.7468889963509173,0.055885621,0.18363978740435768,2.346217615972354,-1.900740582,1.795603323048426,3.5008728474504265,-0.074888589,0.28288542202164757
1,11,5,1,20,9.438980023,2.006454644,0.002902068,0.8381441282650357,0.08091318,-0.954446264,1.3000965592310452,0.014617180179342194,-1.312561158,0.9349063143578108,-0.067570611
1,11,5,1,25,9.438980023,2.006454644,0.002315264,0.6120330732592989,0.090071092,-1.088780268,0.928457449,0.1733892341673951,-1.092915323,0.840619431,-0.42004119
1,11,5,1,30,9.438980023,2.006454644,0.002937543,0.5039193770241014,0.10411545114724571,-0.947221271,0.6987034934774126,0.4168783269951809,-0.740870509,0.8684434501645134,-0.506082117
1,11,5,1,35,9.438980023,2.006454644,0.006079931,0.3730419365718493,0.098829888,-0.514652708,0.3432327480506325,0.3252417563206674,-0.326946843,0.5252925259277799,-0.325010544
1,12,5,10,20,10.53938628,1.9075533,0.006898779,0.412429445,0.051548218039030064,-0.439516548,0.46187960425131175,-0.494487447,-0.804073975,-0.04182626,0.052354621
1,12,5,10,25,10.53938628,1.9075533,0.006733712,0.33348475346296985,0.065028618,-0.453917988,0.2107330530784987,-0.260775787,-0.539403682,-0.016841666,-0.164966656
1,12,5,10,30,10.53938628,1.9075533,0.009766178,0.36280378,0.059960783,-0.23282374,0.3103379881098028,-0.348637581,-0.511606582,-0.047997095,0.089552823
1,12,5,10,35,10.53938628,1.9075533,0.004072886,0.5686247198502931,0.049851491956263656,-0.752898743,0.841499606,-0.523903834,-1.226965983,0.20918776887796833,0.015757117500880515
1,13,5,100,20,12.29334457,1.598758309,0.001087686,2.281490274093383,0.012082658515902973,-1.538029631,2.483788524591722,-1.178707598,-3.00437681,0.8218358751405294,0.4715908818408343
1,13,5,100,25,12.29334457,1.598758309,0.001259543,1.3329748529240866,0.006155822,-1.450794907,1.8485394751266206,-1.28146203,-2.645045594,0.3351972544725279,0.23542641627286534
1,13,5,100,30,12.29334457,1.598758309,0.002536998,0.823049843,0.007664493,-1.034393705,1.2786148989305115,-1.255305969,-2.052806325,-0.049276588,0.25333274886029084
1,13,5,100,35,12.29334457,1.598758309,0.003622637,0.598280036,0.002721686,-0.822563174,0.9015926719021429,-1.341000143,-1.756573262,-0.37572436,0.24706777014980583
1,22,10,10,20,10.12385273,1.728395652,0.056858008,0.19246620500468672,0.14366989756160498,0.8147507460817824,-0.439008904,1.102639523419485,1.354877926453832,0.48194127337484594,0.066331952
1,22,10,10,25,10.12385273,1.728395652,0.058058639,0.16340505036985542,0.11636493331454713,0.8271770549001712,-0.632495921,0.6292493827958078,1.2106128348422633,-0.005811329,0.12087410404703475
1,22,10,10,30,10.12385273,1.728395652,0.18612736963390852,0.11784010012133636,0.076037498,1.5199443177404237,-1.018910245,-0.069913231,1.4624927125339153,-0.867317957,0.6798318199549246
1,22,10,10,35,10.12385273,1.728395652,0.24561624041813934,0.10642071412057351,0.23329898358096812,1.6848671722264115,-1.13939409,2.6565520373042024,3.1430719387282338,1.1422767174752162,-0.102799302
1,23,10,100,20,7.542617798,1.802707072,0.00125391,1.319537771550742,0.00253049,-1.453460744,1.8365633896592215,-1.34431493,-2.674656416,0.2795130160616709,0.24653880248161075
1,23,10,100,25,7.542617798,1.802707072,0.001950239,0.8562050905875089,0.012384022048569362,-1.190807188,1.3252975777610483,-1.173482815,-2.128623404,0.061194215256490735,0.12928658328334558
1,23,10,100,30,7.542617798,1.802707072,0.004271319,0.7331325825911092,0.070544891,-0.724610244,1.1418639787920901,-0.165139362,-1.182855418,0.670592582,0.085691362
1,23,10,100,35,7.542617798,1.802707072,0.012919318,0.424834532,0.10658986225836897,-0.066438355,0.4969090194483641,0.4597775526911693,-0.06959005,0.6732425079389649,0.068042465
1,31,15,1,20,8.344019044,2.159523642,0.006912007,0.32070974094497195,0.063706202,-0.438377439,0.16456162081257392,-0.283702712,-0.516302619,-0.065208007,-0.17006486
1,31,15,1,25,8.344019044,2.159523642,0.008622655,0.2573414156546273,0.080265599,-0.306878162,-0.095645075,0.003389967,-0.128721079,-0.021610398,-0.293764452
