1/eta,cbeta,beta,meansize,msd,sample,temperature,linker_length,linker_conc,pc1,pc2,pc3,run_index
0.015811786,0.20657912,0.076063098,8.344019044,2.159523642,31,30,15,1,0.164221337,-0.416195425,-0.054556933,1
0.018994834,0.191032148,0.079787791,8.344019044,2.159523642,31,35,15,1,0.317956783,-0.436006364,-0.038718769,1
0.008003867,0.383575053,0.047181607,8.315158886,1.806626413,32,20,15,10,-0.774926275,-0.298569952,0.173015388,1
0.002630329,0.312240171,0.060632859,8.315158886,1.806626413,32,25,15,10,-0.896769723,-0.204559531,-0.543977504,1
0.003610917,0.27325302,0.061116705,8.315158886,1.806626413,32,30,15,10,-0.690525669,-0.317298695,-0.481758004,1
0.001237372,0.248346422,0.056064213,8.315158886,1.806626413,32,35,15,10,-1.052679129,-0.391571106,-1.006991575,1
0.002354042,0.488398538,0.03834814,6.535393535,1.577835998,0,20,0,0,-1.455143696,-0.161598581,-0.195154342,2
0.001868626,0.39803742,0.022207066,6.535393535,1.577835998,0,25,0,0,-1.55624836,-0.517482153,-0.335584177,2
0.003792836,0.332729293,0.029072598,6.535393535,1.577835998,0,30,0,0,-1.119015508,-0.602727746,-0.156721679,2
0.00431873,0.31060132,0.029825992,6.535393535,1.577835998,0,35,0,0,-1.01952597,-0.65209245,-0.14303845,2
0.015052649,0.247912257,0.073597332,6.9040033,1.443730929,11,20,5,1,-0.000154757,-0.309601986,0.048272638,2
0.019424452,0.206743796,0.078185694,6.9040033,1.443730929,11,25,5,1,0.2569003,-0.399632739,0.029078355,2
0.051800253,0.192356775,0.071053023,6.9040033,1.443730929,11,30,5,1,0.581331111,-0.609081972,0.479148707,2
0.09764734,0.184038796,0.108317188,6.9040033,1.443730929,11,35,5,1,1.19847074,-0.180703462,0.533948814,2
0.036350841,0.191203924,0.125798605,8.231447181,1.74806414,12,20,5,10,0.995449725,0.142635212,0.001032269,2
0.080745976,0.143124826,0.124674785,8.231447181,1.74806414,12,25,5,10,1.460827033,-0.13805465,0.199384162,2
0.271312076,0.11214427,0.133569087,8.231447181,1.74806414,12,30,5,10,2.139046036,-0.275239565,0.560308281,2
0.688751541,0.07285425,0.245768282,8.231447181,1.74806414,12,35,5,10,3.85404775,0.850522703,0.090782788,2
0.008967774,0.440743505,0.053764526,7.118798566,1.574282293,13,20,5,100,-0.764221111,-0.113029652,0.273275446,2
0.02903482,0.27293175,0.053615054,7.118798566,1.574282293,13,25,5,100,-0.028788354,-0.545672136,0.524366103,2
0.03041281,0.187941434,0.075601443,7.118798566,1.574282293,13,30,5,100,0.453848013,-0.533047326,0.192791425,2
0.091040324,0.147129438,0.085189984,7.118798566,1.574282293,13,35,5,100,1.098756574,-0.654551866,0.495794542,2
0.006304509,0.364668422,0.065434236,7.0140624,1.684320471,21,20,10,1,-0.646600533,-0.076985038,-0.071870625,2
0.01298297,0.268869787,0.065850758,7.0140624,1.684320471,21,25,10,1,-0.182640016,-0.343742133,0.073453566,2
0.00980311,0.232155874,0.07886399,7.0140624,1.684320471,21,30,10,1,-0.055489989,-0.262045575,-0.220170303,2
0.017076847,0.220534912,0.077032564,7.0140624,1.684320471,21,35,10,1,0.156732053,-0.358875734,0.015546983,2
0.009505927,0.258852991,0.090337084,7.615249573,1.79240115,22,20,10,10,-0.027631946,-0.024629392,-0.232900402,2
0.007644439,0.201606194,0.103214737,7.615249573,1.79240115,22,25,10,10,0.189905897,-0.025871169,-0.559710937,2
0.018099419,0.178788462,0.098630587,7.615249573,1.79240115,22,30,10,10,0.52968061,-0.229843424,-0.208490057,2
0.013079403,0.176577667,0.09975126,7.615249573,1.79240115,22,35,10,10,0.434598837,-0.204366004,-0.372729498,2
0.024541372,0.217398728,0.094393655,6.930337457,1.725377925,31,20,15,1,0.463720984,-0.158690007,0.076036845,2
0.032510832,0.173573424,0.12127634,6.930337457,1.725377925,31,25,15,1,0.977163385,0.016239656,-0.08414834,2
0.073108082,0.154315787,0.118285666,6.930337457,1.725377925,31,30,15,1,1.312658375,-0.161329533,0.235729842,2
0.085075617,0.14022134,0.128350353,6.930337457,1.725377925,31,35,15,1,1.5289483,-0.107266679,0.19015262,2
0.000773489,1.486513487,0.001,8.732567275,1.851698905,0,20,0,0,-2.962380859,0.239071286,0.182937377,3
0.000531348,0.883205983,0.003510299,8.732567275,1.851698905,0,25,0,0,-2.719138427,-0.094573763,-0.323563734,3
0.002118355,0.616641394,0.024269105,8.732567275,1.851698905,0,30,0,0,-1.787021627,-0.169383421,-0.021415835,3
0.01354898,0.378745686,0.064574794,8.052703646,1.683347233,11,20,5,1,-0.411060802,-0.106677426,0.310083182,3
0.019787864,0.276535975,0.074022931,8.052703646,1.683347233,11,25,5,1,0.026681529,-0.238643356,0.239239885,3
0.016358303,0.221433678,0.087217802,8.052703646,1.683347233,11,30,5,1,0.238349689,-0.21652856,-0.059636285,3
0.017486706,0.178590675,0.086116415,8.052703646,1.683347233,11,35,5,1,0.396043847,-0.396515324,-0.154099149,3
0.005581991,0.364329668,0.049350375,7.605303434,1.613058962,12,20,5,10,-0.845972325,-0.286118332,-0.037493538,3
0.011863224,0.219635522,0.065343377,7.605303434,1.613058962,12,25,5,10,-0.083015621,-0.496642322,-0.089147012,3
0.021779632,0.166279882,0.081638558,7.605303434,1.613058962,12,30,5,10,0.477774818,-0.523491047,-0.070842153,3
0.036072468,0.147957286,0.101339652,7.605303434,1.613058962,12,35,5,10,0.92666036,-0.377298484,-0.020650126,3
0.011388057,0.382290651,0.079072733,7.949661118,1.645987335,13,20,5,100,-0.336906954,0.105434356,0.153156275,3
0.017549357,0.238966053,0.084927949,7.949661118,1.645987335,13,25,5,100,0.189366471,-0.194428209,0.032490459,3
0.061504756,0.167544019,0.101395438,7.949661118,1.645987335,13,30,5,100,1.031337263,-0.315841269,0.301933372,3
0.449701084,0.092713698,0.167606849,7.949661118,1.645987335,13,35,5,100,2.777819308,0.008202801,0.484526552,3
0.255103635,0.080072173,0.229649294,8.035384801,1.749889671,21,20,10,1,3.283059217,0.765432352,-0.219412708,3
0.468472401,0.04726056,0.205895681,8.035384801,1.749889671,21,25,10,1,3.620535468,0.014545051,-0.126092112,3
